league,week,franchise_id,franchise_score,opponent_id,opponent_score,result,diff_score,franchise_name,user_name,franchise_name_opponent,user_name_opponent
L1 The Process,5,4,0,3,0,NA,0,Hana Ho Beaches,Kendradhl,AWhore,AWhore
L1 The Process,5,5,0,1,0,NA,0,#Fartgate,DrWraith84,Weagle85,Weagle85
L1 The Process,5,6,0,7,0,NA,0,O'Shaughnessy's Pub,OShaughnessysPub,Sweep The Leg,ctjoumas
L1 The Process,5,7,0,6,0,NA,0,Sweep The Leg,ctjoumas,O'Shaughnessy's Pub,OShaughnessysPub
L1 The Process,5,8,0,9,0,NA,0,Admiral Snackbar,Dandelo19,Horsey Sauce,FeelingDangerouz
L1 The Process,5,9,0,8,0,NA,0,Horsey Sauce,FeelingDangerouz,Admiral Snackbar,Dandelo19
L1 The Process,5,10,0,2,0,NA,0,sugarfreemocha,sugarfreemocha,SycamoreFlynns,SycamoreFlynns
L2 Sack Based Floor,1,1,171.96,6,140.01,W,31.950000000000017,kfisch55,kfisch55,Leg Wrestling Champ,RawlsTofJ
L2 Sack Based Floor,1,2,164.45,8,155.15,W,9.299999999999983,LamArby’s,apulianas,The Process,stephensear
L2 Sack Based Floor,1,3,194.52,5,146.22,W,48.30000000000001,WhatKindOfNameIsDenny?,jimmy2thumbs, I am tilting,arthurdantas
L2 Sack Based Floor,1,4,172.44,9,182.29,L,9.849999999999994,The Poop Monsters,karmannkc,jbieligk,jbieligk
L2 Sack Based Floor,1,5,146.22,3,194.52,L,48.30000000000001, I am tilting,arthurdantas,WhatKindOfNameIsDenny?,jimmy2thumbs
L2 Sack Based Floor,1,6,140.01,1,171.96,L,31.950000000000017,Leg Wrestling Champ,RawlsTofJ,kfisch55,kfisch55
L2 Sack Based Floor,1,7,207.99,10,142.25,W,65.74000000000001,Sorry to the kids,FoolofaTook13,Not Great Bob,tommcg17
L2 Sack Based Floor,1,8,155.15,2,164.45,L,9.299999999999983,The Process,stephensear,LamArby’s,apulianas
L2 Sack Based Floor,1,9,182.29,4,172.44,W,9.849999999999994,jbieligk,jbieligk,The Poop Monsters,karmannkc
L2 Sack Based Floor,1,10,142.25,7,207.99,L,65.74000000000001,Not Great Bob,tommcg17,Sorry to the kids,FoolofaTook13
L2 Sack Based Floor,2,1,197.89,3,171.02,W,26.869999999999976,kfisch55,kfisch55,WhatKindOfNameIsDenny?,jimmy2thumbs
L2 Sack Based Floor,2,2,180.09,4,249.93,L,69.84,LamArby’s,apulianas,The Poop Monsters,karmannkc
L2 Sack Based Floor,2,3,171.02,1,197.89,L,26.869999999999976,WhatKindOfNameIsDenny?,jimmy2thumbs,kfisch55,kfisch55
L2 Sack Based Floor,2,4,249.93,2,180.09,W,69.84,The Poop Monsters,karmannkc,LamArby’s,apulianas
