league,week,franchise_id,franchise_score,opponent_id,opponent_score,result,diff_score,franchise_name,user_name,franchise_name_opponent,user_name_opponent
L5 Week 3 Nick Foles,1,8,194.58,4,135.58,W,59,Great Clips' Revenge,CommieEsq,Lenny’s Retirement Party,matthewdwood82
L5 Week 3 Nick Foles,1,9,192.03,5,191.92,W,0.11000000000001364,sadmalander,sadmalander,Closet Poopers,coots1185
L5 Week 3 Nick Foles,1,10,130.91,3,171.01,L,40.099999999999994,charlessword,charlessword,Sexy Skeletons ,aspires
L5 Week 3 Nick Foles,2,1,189.82,3,188.31,W,1.509999999999991,The Lib Owners,nak97,Sexy Skeletons ,aspires
L5 Week 3 Nick Foles,2,2,170.03,6,220.71,L,50.68000000000001,fantasyscott,fantasyscott,TD Upside,csurunnerccr
L5 Week 3 Nick Foles,2,3,188.31,1,189.82,L,1.509999999999991,Sexy Skeletons ,aspires,The Lib Owners,nak97
L5 Week 3 Nick Foles,2,4,195.18,9,203.89,L,8.70999999999998,Lenny’s Retirement Party,matthewdwood82,sadmalander,sadmalander
L5 Week 3 Nick Foles,2,5,218.99,8,173.81,W,45.18000000000001,Closet Poopers,coots1185,Great Clips' Revenge,CommieEsq
L5 Week 3 Nick Foles,2,6,220.71,2,170.03,W,50.68000000000001,TD Upside,csurunnerccr,fantasyscott,fantasyscott
L5 Week 3 Nick Foles,2,7,216.27,10,202.91,W,13.360000000000014,Big Seltzer™,jonsey456,charlessword,charlessword
L5 Week 3 Nick Foles,2,8,173.81,5,218.99,L,45.18000000000001,Great Clips' Revenge,CommieEsq,Closet Poopers,coots1185
L5 Week 3 Nick Foles,2,9,203.89,4,195.18,W,8.70999999999998,sadmalander,sadmalander,Lenny’s Retirement Party,matthewdwood82
L5 Week 3 Nick Foles,2,10,202.91,7,216.27,L,13.360000000000014,charlessword,charlessword,Big Seltzer™,jonsey456
L5 Week 3 Nick Foles,3,1,169.7,7,217.16,L,47.46000000000001,The Lib Owners,nak97,Big Seltzer™,jonsey456
L5 Week 3 Nick Foles,3,2,155.52,3,146.82,W,8.700000000000017,fantasyscott,fantasyscott,Sexy Skeletons ,aspires
L5 Week 3 Nick Foles,3,3,146.82,2,155.52,L,8.700000000000017,Sexy Skeletons ,aspires,fantasyscott,fantasyscott
L5 Week 3 Nick Foles,3,4,231.38,5,196.61,W,34.76999999999998,Lenny’s Retirement Party,matthewdwood82,Closet Poopers,coots1185
L5 Week 3 Nick Foles,3,5,196.61,4,231.38,L,34.76999999999998,Closet Poopers,coots1185,Lenny’s Retirement Party,matthewdwood82
L5 Week 3 Nick Foles,3,6,224.37,10,202.67,W,21.700000000000017,TD Upside,csurunnerccr,charlessword,charlessword
L5 Week 3 Nick Foles,3,7,217.16,1,169.7,W,47.46000000000001,Big Seltzer™,jonsey456,The Lib Owners,nak97
L5 Week 3 Nick Foles,3,8,179.74,9,192.69,L,12.949999999999989,Great Clips' Revenge,CommieEsq,sadmalander,sadmalander
L5 Week 3 Nick Foles,3,9,192.69,8,179.74,W,12.949999999999989,sadmalander,sadmalander,Great Clips' Revenge,CommieEsq
L5 Week 3 Nick Foles,3,10,202.67,6,224.37,L,21.700000000000017,charlessword,charlessword,TD Upside,csurunnerccr
L5 Week 3 Nick Foles,4,1,160.74,6,140.03,W,20.710000000000008,The Lib Owners,nak97,TD Upside,csurunnerccr
L5 Week 3 Nick Foles,4,2,166.25,5,238.01,L,71.75999999999999,fantasyscott,fantasyscott,Closet Poopers,coots1185
L5 Week 3 Nick Foles,4,3,196.27,8,136.4,W,59.870000000000005,Sexy Skeletons ,aspires,Great Clips' Revenge,CommieEsq
L5 Week 3 Nick Foles,4,4,236.25,10,171.75,W,64.5,Lenny’s Retirement Party,matthewdwood82,charlessword,charlessword
L5 Week 3 Nick Foles,4,5,238.01,2,166.25,W,71.75999999999999,Closet Poopers,coots1185,fantasyscott,fantasyscott
L5 Week 3 Nick Foles,4,6,140.03,1,160.74,L,20.710000000000008,TD Upside,csurunnerccr,The Lib Owners,nak97
L5 Week 3 Nick Foles,4,7,213.47,9,192.1,W,21.370000000000005,Big Seltzer™,jonsey456,sadmalander,sadmalander
L5 Week 3 Nick Foles,4,8,136.4,3,196.27,L,59.870000000000005,Great Clips' Revenge,CommieEsq,Sexy Skeletons ,aspires
L5 Week 3 Nick Foles,4,9,192.1,7,213.47,L,21.370000000000005,sadmalander,sadmalander,Big Seltzer™,jonsey456
L5 Week 3 Nick Foles,4,10,171.75,4,236.25,L,64.5,charlessword,charlessword,Lenny’s Retirement Party,matthewdwood82
L5 Week 3 Nick Foles,5,1,0,5,0,NA,0,The Lib Owners,nak97,Closet Poopers,coots1185
L5 Week 3 Nick Foles,5,2,0,7,0,NA,0,fantasyscott,fantasyscott,Big Seltzer™,jonsey456
L5 Week 3 Nick Foles,5,3,0,4,0,NA,0,Sexy Skeletons ,aspires,Lenny’s Retirement Party,matthewdwood82
L5 Week 3 Nick Foles,5,4,0,3,0,NA,0,Lenny’s Retirement Party,matthewdwood82,Sexy Skeletons ,aspires
L5 Week 3 Nick Foles,5,5,0,1,0,NA,0,Closet Poopers,coots1185,The Lib Owners,nak97
L5 Week 3 Nick Foles,5,6,0,9,0,NA,0,TD Upside,csurunnerccr,sadmalander,sadmalander
L5 Week 3 Nick Foles,5,7,0,2,0,NA,0,Big Seltzer™,jonsey456,fantasyscott,fantasyscott
L5 Week 3 Nick Foles,5,8,0,10,0,NA,0,Great Clips' Revenge,CommieEsq,charlessword,charlessword
L5 Week 3 Nick Foles,5,9,0,6,0,NA,0,sadmalander,sadmalander,TD Upside,csurunnerccr
L5 Week 3 Nick Foles,5,10,0,8,0,NA,0,charlessword,charlessword,Great Clips' Revenge,CommieEsq
